APN,SitusAddress
12-1006-20,388 41ST ST OAKLAND 94609
12-1006-27,4132 SHAFTER AVE OAKLAND 94609
12-1006-21,4100 SHAFTER AVE OAKLAND 94609
12-1006-19,382 41ST ST OAKLAND 94609
12-1004-14-3,4131 MANILA AVE OAKLAND 94609
12-1004-34,4154 OPAL ST OAKLAND 94609
12-1004-13-3,4135 MANILA AVE OAKLAND 94609
12-1004-39,4192 OPAL ST OAKLAND 94609
12-1003-23,4103 EMERALD ST OAKLAND 94609
12-1001-24,4108 EMERALD ST OAKLAND 94609
12-1001-25,4112 EMERALD ST OAKLAND 94609
12-1001-26,4116 EMERALD ST OAKLAND 94609
12-1001-32,4148 EMERALD ST OAKLAND 94609
12-1000-6,327 41ST ST OAKLAND 94609
13-1188-47,969 54TH ST OAKLAND 94608
13-1188-39-1,1007 54TH ST OAKLAND 94608
13-1188-11,992 53RD ST OAKLAND 94608
13-1188-17,1016 53RD ST OAKLAND 94608
13-1188-41,995 54TH ST OAKLAND 94608
13-1188-16,1014 53RD ST OAKLAND 94608
13-1188-14,1004 53RD ST OAKLAND 94608
13-1188-37,1015 54TH ST OAKLAND 94608
13-1188-12,996 53RD ST OAKLAND 94608
13-1188-49,963 54TH ST OAKLAND 94608
13-1188-23,1036 53RD ST OAKLAND 94608
13-1188-42,993 54TH ST OAKLAND 94608
13-1188-18,1020 53RD ST OAKLAND 94608
13-1188-35,1023 54TH ST OAKLAND 94608
13-1187-5,962 54TH ST OAKLAND 94608
13-1187-49,955 55TH ST OAKLAND 94608
13-1187-15,1006 54TH ST OAKLAND 94608
13-1187-3-1,954 54TH ST OAKLAND 94608
13-1186-7-5,1070 53RD ST OAKLAND 94608
13-1186-6,1064 53RD ST OAKLAND 94608
13-1186-22,1053 54TH ST OAKLAND 94608
13-1185-19,1061 55TH ST OAKLAND 94608
13-1185-14-2,1083 55TH ST OAKLAND 94608
13-1185-10,1086 54TH ST OAKLAND 94608
13-1184-28,1153 55TH ST OAKLAND 94608
13-1184-5,1126 54TH ST OAKLAND 94608
13-1184-4,1118 54TH ST OAKLAND 94608
13-1184-6,1130 54TH ST OAKLAND 94608
13-1184-7,1136 54TH ST OAKLAND 94608
13-1184-9,1148 54TH ST OAKLAND 94608
13-1184-14,1180 54TH ST OAKLAND 94608
13-1184-11,1160 54TH ST OAKLAND 94608
13-1184-10,1156 54TH ST OAKLAND 94608
13-1184-22,1201 55TH ST OAKLAND 94608
13-1184-15-1,1184 54TH ST OAKLAND 94608
13-1184-24,1175 55TH ST OAKLAND 94608
13-1184-8,1142 54TH ST OAKLAND 94608
13-1184-12,1170 54TH ST OAKLAND 94608
13-1184-26-1,1159 55TH ST OAKLAND 94608
13-1184-3,1114 54TH ST OAKLAND 94608
13-1184-13,1174 54TH ST OAKLAND 94608
13-1183-32,1125 54TH ST OAKLAND 94608
13-1183-30,1135 54TH ST OAKLAND 94608
13-1183-29,1143 54TH ST OAKLAND 94608
13-1183-25,1169 54TH ST OAKLAND 94608
13-1183-28,1149 54TH ST OAKLAND 94608
13-1183-26,1159 54TH ST OAKLAND 94608
13-1183-27,1155 54TH ST OAKLAND 94608
13-1183-23,1181 54TH ST OAKLAND 94608
13-1183-24,1175 54TH ST OAKLAND 94608
13-1183-13,1148 53RD ST OAKLAND 94608
13-1183-33,1119 54TH ST OAKLAND 94608
13-1183-34,1111 54TH ST OAKLAND 94608
13-1183-31,1129 54TH ST OAKLAND 94608
